nwo,name,description,topics,predicted_naics,naics_description,confidence,readme_preview
MahianFerdous/aiu-kitchen-,aiu-kitchen-,,[],62,Health Care and Social Assistance,0.7916489243507385,"# AIU Kitchen Management System

A comprehensive web-based application for managing kitchen facilities at Albukhary International University's residential halls.

## Architecture

- **Frontend**: React + Vite + Tailwind CSS
- **Backend**: PHP REST API
- **Database**: MySQL

## Project Structure

```
aiu-kitchen-system-complete/
├── frontend/                 # React frontend application
│   ├── src/
│   │   ├── components/      # Reusable UI components
│   │   ├── context/         # React context"
collabute/collabute,collabute,Collabute Website,[],54,"Professional, Scientific, Technical Services",0.7916021347045898,"# Collabute - Collaborative Development Platform

A modern platform connecting developers, startups, and project managers for collaborative software development projects.

## 🚀 Tech Stack

### Frontend

- **Framework:** Next.js 14 (App Router)
- **Language:** TypeScript
- **Styling:** Tailwind CSS
- **UI Components:** Shadcn/ui
- **Package Manager:** Bun

### Backend

- **Database & Backend:** Convex (Real-time, reactive backend)
- **Authentication:** Convex Auth with Password & GitHub OAuth pro"
alexandriasworld1234-source/Ideasandvisions,Ideasandvisions,,[],62,Health Care and Social Assistance,0.791273832321167,"# CalAIM Training Platform

A comprehensive learning management system (LMS) for training Lead Care Managers, Housing Navigators, and Community Health Workers in California's CalAIM program.

## Overview

This platform provides microcredential-based training aligned with California DHCS standards, featuring:

- **Three Microcredential Programs:**
  - Lead Care Manager (7 Core Proficiencies)
  - Housing Navigator
  - Community Health Worker (CHW)

- **Interactive Learning Features:**
  - Video le"
AlwiAM/spectra-vision-fe,spectra-vision-fe,,[],51,Information,0.7912288308143616,"# React + Vite

This template provides a minimal setup to get React working in Vite with HMR and some ESLint rules.

Currently, two official plugins are available:

- [@vitejs/plugin-react](https://github.com/vitejs/vite-plugin-react/blob/main/packages/plugin-react) uses [Babel](https://babeljs.io/) for Fast Refresh
- [@vitejs/plugin-react-swc](https://github.com/vitejs/vite-plugin-react/blob/main/packages/plugin-react-swc) uses [SWC](https://swc.rs/) for Fast Refresh

## Expanding the ESLint co"
ryanmaclean/vibecode-webgui,vibecode-webgui,"TEST REPO Sample vibecoding platform based on OpenVSCode-server mixed with OpenRouter, monitored via Datadog/OpenTelemetry/Vector. Uses optional PostgreSQL pgvector for RAG implementation.","[""openrouter"", ""vibecoding"", ""openvscode-server"", ""gastown""]",51,Information,0.7912145853042603,"# VibeCode

[![License: MIT](https://img.shields.io/badge/License-MIT-yellow.svg)](https://opensource.org/licenses/MIT)
[![Version](https://img.shields.io/badge/version-1.5.0-blue.svg)](https://github.com/ryanmaclean/vibecode-webgui/releases)
[![CI](https://github.com/ryanmaclean/vibecode-webgui/actions/workflows/ci.yml/badge.svg)](https://github.com/ryanmaclean/vibecode-webgui/actions/workflows/ci.yml)

**Containerized Development Environment with Full IDE Support**

VibeCode is a containerized"
abe238/abediaz.ai,abediaz.ai,abediaz.ai --> abediaz.com,[],81,Other Services,0.7912132740020752,"# abediaz.ai

> **Personal Portfolio Website** | Seattle/Tech/Evangelist

[![Live Site](https://img.shields.io/badge/Live%20Site-abediaz.ai-36BCAB?style=for-the-badge&logo=web&logoColor=white)](https://abediaz.ai)
[![GitHub Pages](https://img.shields.io/badge/Hosted%20on-GitHub%20Pages-222222?style=for-the-badge&logo=github&logoColor=white)](https://pages.github.com/)

---

## Overview

This is the personal portfolio website for **Abe Diaz**, a passionate technologist and Sr. Technical Program M"
Brickell-Research/caffeine_lang_github_action,caffeine_lang_github_action,,[],44-45,Retail Trade,0.791053831577301,"# caffeine-lang GitHub Action

An example integration of the [Caffeine language](https://github.com/BrickellResearch/caffeine_lang) into a GitHub Action.

How I use it today in my Terraform SLO Sync workflow (for Datadog SLOs):
```yaml
name: Sync SLOs - Caffeine Lang

on:
  push:
    branches:
      - main

jobs:
  test-binary:
    runs-on: ubuntu-latest
    defaults:
      run:
        working-directory: slos
    
    steps:
    - name: Checkout repository
      uses: actions/checkout@v4
    
 "
PolicyEngine/policyengine-app,policyengine-app,PolicyEngine's free web app for computing the impact of public policy.,[],81,Other Services,0.7909756302833557,"# Welcome :wave: !

This is the official front-end app of PolicyEngine, a non-profit with the mission of computing the impact of public policy for the world. <br/><br/>
![PolicyEngineWebApp](https://github.com/PolicyEngine/policyengine-app/assets/14987227/70a1a74f-4585-42ec-8642-e4f4f6c2088b)

# Prerequisites

We recommend that you use the latest Node version 22. To easily manage your node versions, get the Node Version Manager [nvm](https://github.com/nvm-sh/nvm) and then do

```
nvm install 22"
RyutoYoda/DataScience_Starter_Docker,DataScience_Starter_Docker,,[],51,Information,0.7908848524093628,"# データサイエンス開発環境

汎用的なデータサイエンスプロジェクト用のDocker開発環境です。DevContainer、uv、最新のPythonツールチェーンを使用した効率的な開発をサポートします。

## 特徴

- 🐳 **Docker & DevContainer**: 完全にコンテナ化された開発環境
- 📦 **uv パッケージマネージャー**: 高速で信頼性の高いPythonパッケージ管理
- 🐍 **Python 3.11**: 最新の安定版Python
- ⚡ **軽量設計**: 必要最小限のパッケージで高速起動
- 📊 **基本データサイエンスツール**: NumPy, Pandas, Polars, Pandera
- 🎨 **可視化ツール**: Matplotlib, Seaborn, Plotly
- 📝 **Jupyter Lab**: インタラクティブな開発環境
- 🚀 **Streamlit**: 素早いWebアプリ作成

## プロジェクト構成

```
.
├── .devcontainer/          # DevContainer設定
│ "
nullvariant/nullvariant-zenn,nullvariant-zenn,,[],81,Other Services,0.7908427119255066,"# nullvariant-zenn

Zenn.dev 向けの技術記事・本のコンテンツリポジトリです。

## コミット署名について

このリポジトリのコミットには、IDE・拡張機能・AIモデルの情報が自動的に署名されます。

```text
🖥️ IDE: [VS Code](https://code.visualstudio.com/)
🔌 Extension: [Claude Code](https://claude.com/claude-code)

Co-authored-by: Claude Opus 4.5 <claude-opus-4-5@anthropic.com>
Model-Raw: claude-opus-4-5-20251101
```

これにより、どの環境・どのAIモデルがコミットに関与したかを追跡可能にしています。
"
SmoothestMove/CodebaseRestructure,CodebaseRestructure,Refactoring of the Codebase to Meet Modern Standards,[],56,Administrative and Support Services,0.7907719612121582,"
# Smooth Moves

A comprehensive web application designed to help users efficiently manage and track their belongings during a move using QR codes, owner assignments, status updates, and comprehensive budget tracking.

## Table of Contents
1.  [Overview](#overview)
2.  [Features](#features)
3.  [Tech Stack](#tech-stack)
4.  [Installation & Setup](#installation--setup)
5.  [Development Commands](#development-commands)
6.  [Folder Structure](#folder-structure)
7.  [Core Features & Use Cases](#core"
roymondliao/paper-prereq-analyzer,paper-prereq-analyzer,,[],61,Educational Services,0.7907707691192627,"# Paper Prerequisite Analyzer

A Claude Code plugin marketplace for analyzing academic papers to identify prerequisite papers needed for understanding. Extracts references, classifies importance, and discovers related papers via PASA search.

## Installation

### Install from GitHub Marketplace

In Claude Code, run:

```bash
# Add the marketplace
/plugin marketplace add roymondliao/paper-prereq-analyzer

# Install the plugin
/plugin install paper-prereq-plugin@paper-prereq-marketplace
```

### M"
thamam/talk-to-me-claude-cli,talk-to-me-claude-cli,implmenting a speech layer around claude code cli,[],61,Educational Services,0.790749192237854,"# 🎤 Talk-to-Me Claude CLI

> **Voice narration layer for Claude Code CLI** - Explains WHAT was done, not what's on screen

Like a lecturer explaining concepts rather than reading slides, this tool adds intelligent voice narration to Claude Code CLI that summarizes high-level changes instead of reading code line-by-line.

---

## 🎯 The Problem

Standard text-to-speech for coding tasks is terrible:
- ❌ Reads file paths aloud
- ❌ Spells out code character by character
- ❌ Narrates tool usage (""I us"
CDataSoftware/sap-bydesign-mcp-server-by-cdata,sap-bydesign-mcp-server-by-cdata,"This read-only MCP Server allows you to connect to SAP ByDesign data from Claude Desktop through CData JDBC Drivers. For full CRUD support, check out the first managed MCP platform: CData Connect AI (https://www.cdata.com/ai/).",[],54,"Professional, Scientific, Technical Services",0.7907413244247437,"# sap-bydesign-mcp-server-by-cdata
CData's Model Context Protocol (MCP) Server for SAP ByDesign

:heavy_exclamation_mark: This project builds a local, read-only MCP server. For fully remote MCP access, check out the first managed MCP platform: [CData Connect AI](https://www.cdata.com/ai/). For locally hosted, full read, write, update, delete, and action capabilities and a simplified setup, check out our [CData MCP Server for SAP ByDesign](https://www.cdata.com/drivers/sapbydesign/download/mcp/)."
JasonXuDeveloper/JEngine,JEngine,The solution that allows unity games to update in runtime. 使Unity开发的游戏支持热更新的解决方案。,"[""unity"", ""hotupdate"", ""csharp"", ""hot-update"", ""unity3d"", ""unity2d"", ""unity3d-plugin"", ""game"", ""ilruntime"", ""framework"", ""gameframework"", ""hotfix"", ""unity3d-hotfix"", ""unity-3d"", ""unity-framework"", ""unity3d-framework"", ""hybridclr""]",51,Information,0.790652334690094,"<div align=""center"">

![JEngine](https://socialify.git.ci/JasonXuDeveloper/JEngine/image?font=JetBrains+Mono&forks=1&issues=1&logo=https%3A%2F%2Fjengine.xgamedev.net%2Flogo.png&name=1&owner=1&pulls=1&stargazers=1&theme=Auto)

[![Version](https://img.shields.io/github/v/release/JasonXuDeveloper/JEngine)](https://github.com/JasonXuDeveloper/JEngine/releases) [![Tests](https://github.com/JasonXuDeveloper/JEngine/actions/workflows/pr-tests.yml/badge.svg)](https://github.com/JasonXuDeveloper/JEngine/"
alisalti1992/sitescope-backend,sitescope-backend,,[],51,Information,0.790397584438324,"# SiteScope Backend

A powerful web crawling backend service built with Crawlee, Express, and PostgreSQL. This service provides a REST API for managing web crawling jobs, extracting comprehensive page data, and storing results with screenshots.

## Features

- 🕷️ **Advanced Web Crawling** - Powered by Crawlee and Puppeteer for reliable data extraction
- 🗺️ **Sitemap Auto-Discovery** - Automatically finds and crawls sitemap.xml files for comprehensive coverage
- 🔄 **Background Processing** - Auto"
Prudnikos/guestApp,guestApp,,[],72,Accommodation and Food Services,0.7903914451599121,"# rork-guestapp-hotel-booking
Created by Rork
"
cbenge509/BERTVision,BERTVision,A parameter-efficient compression model architecture for a variety of NLP tasks at BERT level performance at a fraction of the computational requirements.,"[""bert"", ""nlp"", ""machinelearning""]",54,"Professional, Scientific, Technical Services",0.7903280258178711,"<p align=""center"">
  <img src=""./images/BERTVision_hero.jpg"" alt=""BERTVision"" width=""700"">
</p>

<p align=""center"">
  <em>Parameter-efficient fine-tuning using BERT's hidden state activations</em>
</p>

<p align=""center"">
  <a href=""LICENSE.txt""><img src=""https://img.shields.io/github/license/cbenge509/BERTVision"" alt=""License""></a>
  <img src=""https://img.shields.io/badge/python-3.7-blue"" alt=""Python 3.7"">
  <img src=""https://img.shields.io/badge/PyTorch-1.7.1-ee4c2c"" alt=""PyTorch"">
  <img src="
roblucci9302/BAVINI-CLOUD,BAVINI-CLOUD,,[],54,"Professional, Scientific, Technical Services",0.7902165055274963,"<div align=""center"">

# BAVINI

**Environnement de développement web propulsé par l'IA**

[![License](https://img.shields.io/badge/License-Proprietary-blue.svg)](./LICENSE.md)
[![Node](https://img.shields.io/badge/Node.js-%3E%3D18.18-green.svg)](https://nodejs.org/)
[![TypeScript](https://img.shields.io/badge/TypeScript-5.x-blue.svg)](https://www.typescriptlang.org/)
[![React](https://img.shields.io/badge/React-18-61dafb.svg)](https://reactjs.org/)

[Démarrage rapide](#démarrage-rapide) • [Fonct"
protogen-org/ProtoGen-Claude-Workflow,ProtoGen-Claude-Workflow,"Team-wide Claude Code workflow configuration, slash commands, and automation scripts",[],54,"Professional, Scientific, Technical Services",0.7901037931442261,"# ProtoGen Claude Code Workflow

Team-wide Claude Code workflow configuration, slash commands, and automation scripts for ProtoGen development.

## Overview

This repository provides a unified Claude Code workflow for the ProtoGen team, combining:
- **Slash commands** for issue management, GitHub Projects integration, and workflow automation
- **PowerShell and Bash scripts** for development workflow functions
- **Configuration templates** for consistent team setup
- **Documentation** for onboard"
sshubham2/mysql-proxy,mysql-proxy,,[],54,"Professional, Scientific, Technical Services",0.7900838851928711,"# ChronosProxy - MySQL Protocol Proxy Server

An intelligent MySQL protocol proxy server that sits between Tableau and a custom MySQL server with limited SQL capabilities. It acts as a transparent intermediary that automatically transforms unsupported SQL patterns into compatible queries while enforcing business rules and security policies.

## Features

- **MySQL Protocol Implementation**: Full MySQL wire protocol support using `mysql-mimic`
- **Automatic Query Transformation**:
  - Unwraps Tab"
dshills/second-opinion,second-opinion,LLM-driven code review MCP server for Git repos with pluggable model support.,[],54,"Professional, Scientific, Technical Services",0.7900553941726685,"# Second Opinion 🔍

An MCP (Model Context Protocol) server that assists Claude Code in reviewing commits and code bases. This tool leverages external LLMs (OpenAI, Google Gemini, Ollama, Mistral) to provide intelligent code review capabilities, git diff analysis, commit quality assessment, and uncommitted work analysis.

## Features

- **Git Diff Analysis**: Analyze git diff output to understand code changes using LLMs
- **Code Review**: Review code for quality, security, and best practices with"
danielmedeiros52/portaldalembranca-next,portaldalembranca-next,,[],81,Other Services,0.7895153760910034,"# Portal da Lembrança - Next.js 15

**Digital Memorial Platform with QR Code Integration**

[![Next.js](https://img.shields.io/badge/Next.js-15.2.3-black)](https://nextjs.org/)
[![TypeScript](https://img.shields.io/badge/TypeScript-5.8-blue)](https://www.typescriptlang.org/)
[![tRPC](https://img.shields.io/badge/tRPC-11.0-blue)](https://trpc.io/)
[![Drizzle](https://img.shields.io/badge/Drizzle-0.44-green)](https://orm.drizzle.team/)
[![Tailwind CSS](https://img.shields.io/badge/Tailwind-4.0-38b"
m2222n/m2222n,m2222n,GitHub Profile README,[],54,"Professional, Scientific, Technical Services",0.7894835472106934,"<div align=""center"">

# 👋 Hello, I'm Taemin Jeong 🙇🏻‍♂️

**AI/Data Engineer & AI Agent Developer**

[![GitHub](https://img.shields.io/badge/GitHub-m2222n-181717?style=flat&logo=github)](https://github.com/m2222n)
[![Email](https://img.shields.io/badge/Email-tamin214@naver.com-EA4335?style=flat&logo=gmail&logoColor=white)](mailto:tamin214@naver.com)

</div>

---

## 🛠️ 기술 스택

### Languages
![Python](https://img.shields.io/badge/Python-3776AB?style=for-the-badge&logo=python&logoColor=white)
![SQL]"
roottool/safe-formdata,safe-formdata,safe-formdata is a boundary-focused FormData parser.,[],54,"Professional, Scientific, Technical Services",0.7894511222839355,"# safe-formdata

**The strict trust boundary for FormData.**

[![Ask DeepWiki](https://deepwiki.com/badge.svg)](https://deepwiki.com/roottool/safe-formdata)
[![npm version](https://img.shields.io/npm/v/safe-formdata)](https://www.npmjs.com/package/safe-formdata)
[![CI](https://github.com/roottool/safe-formdata/actions/workflows/ci.yml/badge.svg)](https://github.com/roottool/safe-formdata/actions/workflows/ci.yml)
[![codecov](https://codecov.io/gh/roottool/safe-formdata/graph/badge.svg)](https://"
neuroinformatics-unit/poseinterface,poseinterface,Run pose estimation across frameworks,[],71,"Arts, Entertainment, and Recreation",0.7894060611724854,"# poseinterface
"
agbona24/my-portfolio,my-portfolio,,[],54,"Professional, Scientific, Technical Services",0.7893972992897034,"# Modern Portfolio Website

A professional, modern portfolio website built with Next.js, TypeScript, Tailwind CSS, and Framer Motion.

## Features

- **Modern Design**: Clean, professional UI with smooth animations
- **Responsive**: Fully responsive design that works on all devices
- **Dark Mode**: Automatic dark mode support based on system preferences
- **Performance**: Optimized for speed with Next.js 15
- **Animations**: Smooth, engaging animations with Framer Motion
- **SEO Ready**: Built-i"
elgwhoppo/covenant,covenant,Compute Vision Project,[],54,"Professional, Scientific, Technical Services",0.7893517017364502,"# Computer Vision Project

## Overview

## Requirements

## Installation

## Usage

## Project Structure

## Features

## Contributing

## License"
fsaintjacques/fsj-claude-tools,fsj-claude-tools,,[],54,"Professional, Scientific, Technical Services",0.7893106937408447,"# FSJ Claude Tools

GitHub Action skill dispatcher and Rust code review toolkit for automated PR reviews.

## Features

### Skill Dispatcher Agent

Automatically discovers and routes PR reviews to applicable plugin skills:
- Analyzes PR context (files, diff, metadata)
- Uses LLM reasoning to match skills to PR content
- Spawns isolated subagents for each skill
- Posts inline comments at specific code locations
- Aggregates results into summary comment

### Rust Toolkit Plugin

10+ specialized Ru"
anthropics/political-neutrality-eval,political-neutrality-eval,This repo contains detailed implementation information about Anthropic's paired prompts approach for evaluating political neutrality.,[],81,Other Services,0.7892975211143494,"# Political Even-handedness Evaluation

To accompany [blog post](https://www.anthropic.com/news/political-even-handedness) in releasing details around our political bias evaluations 

# Overview 

We provide details about our Paired Prompts evaluation with the goals of transparency and improving industry consensus of how to evaluate LLMs for political bias. This tech report will cover: 


1. Eval Set Construction
2. Grading Criteria
3. Metrics

# Evaluation Set Construction

We designed an evalu"
RinDig/stefan-tasks-db,stefan-tasks-db,,[],23,Construction,0.7892169952392578,"# Stefan's Task Management System

A simple, functional Kanban board for managing concrete painting operations, deployed and ready to use.

## Live Application

- **Frontend**: https://stefan-tasks-db-1.onrender.com
- **Backend API**: https://stefan-tasks-db.onrender.com

## Features

- ✅ Drag-and-drop Kanban board with 4 columns (Backlog, This Week, In Progress, Done)
- ✅ Task categories: Customer, Concrete, Crew, Materials, Internal, Planning, Personal
- ✅ Priority levels with visual indicator"
Project-Memshelf/memshelf-mono,memshelf-mono,The monorepo for Project Memshelf,[],61,Educational Services,0.7892061471939087,"# Memshelf

**A shared knowledge backend that unifies fragmented thoughts, notes, and ideas into a single, searchable, and collaborative knowledge base.**

[![License: AGPL v3](https://img.shields.io/badge/License-AGPL%20v3-blue.svg)](https://www.gnu.org/licenses/agpl-3.0)
[![TypeScript](https://img.shields.io/badge/TypeScript-5.0+-blue.svg)](https://www.typescriptlang.org/)
[![Bun](https://img.shields.io/badge/Bun-1.0+-black.svg)](https://bun.sh/)

> **API-first design** for AI agents, humans, "
viam-labs/pointcloud-classification,pointcloud-classification,Classify point cloud data from a 3D camera using an ML model,[],54,"Professional, Scientific, Technical Services",0.7891789674758911,"# Point Cloud Classification Module

A Viam module that implements a Vision service for point cloud classification using machine learning models. This module enables robots to classify 3D scenes and objects by processing point cloud data from depth cameras.

## Overview

The `viam-labs:pointcloud-classification:classifier` Vision service captures point cloud data from a camera, preprocesses it (normalization, sampling), and runs inference through an ML model to produce classification results wit"
ChrisGVE/claude-code-qa-engine,claude-code-qa-engine,"QA Engine MCP server for Claude Code - orchestrates testing workflows, manages test campaigns, handles bug lifecycle with Temporal, Gitea, Kiwi TCMS and ReportPortal integration",[],54,"Professional, Scientific, Technical Services",0.7885827422142029,"# claude-code-qa-engine
QA Engine MCP server for Claude Code - orchestrates testing workflows, manages test campaigns, handles bug lifecycle with Temporal, Gitea, Kiwi TCMS and ReportPortal integration
"
grafana/tempo-operator,tempo-operator,Grafana Tempo Kubernetes operator,"[""distributed-tracing"", ""grafana"", ""jaeger"", ""jaegertracing"", ""observability"", ""opentelemetry"", ""zipkin""]",53,Real Estate and Rental,0.7884365916252136,"# Grafana Tempo operator

This is a Kubernetes operator for [Grafana Tempo](https://github.com/grafana/tempo).


## Features

* **Resource Limits** - Specify overall resource requests and limits in the `TempoStack` CR; the operator assigns fractions of it to each component
* **AuthN and AuthZ** - Supports OpenID Control (OIDC) and role-based access control (RBAC)
* **Managed upgrades** - Updating the operator will automatically update all managed Tempo clusters
* **Multitenancy** - Multiple tena"
PablitoMaestro/gen-ai-rpg,gen-ai-rpg,,[],71,"Arts, Entertainment, and Recreation",0.7883874177932739,"# AI Hero's Journey – The First True AI-Illustrated RPG with Persistent Characters

> **A new era of RPGs: illustrated, immersive, and uniquely yours.**

*🏆 Nano Banana Hackathon Submission • September 2025*

AI-Illustrated RPGs have always struggled with one core problem: **character consistency across scenes**. Traditional solutions rely on costly custom art or generic assets where every player looks the same. Standard AI generators break immersion, producing characters that look completely di"
maydeploy/event-feedback-app,event-feedback-app, Event hosting feedback app - community-driven platform for event feedback and ideas,[],56,Administrative and Support Services,0.7883570790290833,"# Event Hosting Feedback App

A mobile-first, community-driven web application that empowers event attendees to shape future events through feedback, ideas, and collaboration offers.

## Features

- **Submit Feedback**: Share thoughts about past events
- **Suggest Ideas**: Propose topics, speakers, or formats for future events
- **Offer Collaboration**: Provide speakers, venues, or support
- **Browse & Vote**: View and vote on community submissions
- **Past Events Archive**: Explore previous eve"
itsandrewerickson/tennyson_marketing,tennyson_marketing,,[],53,Real Estate and Rental,0.7883557081222534,"# Tennyson Street Offer Memorandum

Professional marketing materials for 3754-56 Tennyson Street, San Diego, CA 92107.

## Project Summary

This project creates marketing materials for selling a Point Loma property with rare grandfathered ADU development rights:

1. **Landing Page** - Lead capture site with property details and email-gated plan downloads
2. **Offer Memorandum (PDF)** - Professional investment summary (manual creation)

## Property Highlights

| Metric | Value |
|--------|-------"
alenmanjgafic/-amiya-app,-amiya-app, amiya-app,[],51,Information,0.7882899045944214,
krsrock/ghola_project_public,ghola_project_public,,[],92,Public Administration,0.7882768511772156,"# Ghola Project Public

Public test outputs of the ghola project.

## Contents

- [The Jane Street Problem: Intelligence in Decay](jane-street-intelligence/)
"
jason-jz-zhu/TaskStream,TaskStream,,[],54,"Professional, Scientific, Technical Services",0.7882096767425537,"# AI Workflow Builder

A production-ready, open-source AI Workflow Builder that lets anyone create node-based AI workflows using local LLMs (via Ollama) or 3rd-party APIs (OpenAI, Anthropic, Mistral).

## Architecture

- **Frontend**: Next.js 14 (App Router) + TypeScript + Tailwind CSS + React Flow
- **Backend**: Python Flask + SQLAlchemy + Alembic + PostgreSQL (Neon serverless)
- **Queue/Workers**: Celery with SQS broker
- **Storage**: S3 for files/artifacts; pgvector in Neon for embeddings
- *"
cloudstreet-dev/Org-Mode-with-Emacs,Org-Mode-with-Emacs,Organize your life inside of Emacs. By Claude Code Sonnet 4.5.,[],54,"Professional, Scientific, Technical Services",0.7880439162254333,"# Org-Mode with Emacs

*A comprehensive guide to mastering Org-Mode for personal knowledge management, task organization, and literate programming*

## About This Book

Welcome to ""Org-Mode with Emacs""—your comprehensive guide to one of the most powerful text-based productivity systems ever created. Whether you're a developer looking for better project management, a researcher seeking reproducible workflows, or someone who just wants to organize their life in plain text that will last forever, t"
ImaginaryCeiling/Agrihaul-final,Agrihaul-final,,[],11,"Agriculture, Forestry, Fishing and Hunting",0.7878941893577576,"PROJECT BUILT FOR PENNAPPS HACKATHON 
  # AgriHaul App Development

  This is a code bundle for AgriHaul App Development. The original project is available at https://www.figma.com/design/ne08b9rEPHNN8rZMnRbpfd/AgriHaul-App-Development.

  ## Running the code

  Run `npm i` to install the dependencies.

  Run `npm run dev` to start the development server.
  
"
VanshBindal1207/daytona,daytona,,[],71,"Arts, Entertainment, and Recreation",0.7875263690948486,"<div align=""center"">

[![Documentation](https://img.shields.io/github/v/release/daytonaio/docs?label=Docs&color=23cc71)](https://www.daytona.io/docs)
![License](https://img.shields.io/badge/License-AGPL--3-blue)
[![Go Report Card](https://goreportcard.com/badge/github.com/daytonaio/daytona)](https://goreportcard.com/report/github.com/daytonaio/daytona)
[![Issues - daytona](https://img.shields.io/github/issues/daytonaio/daytona)](https://github.com/daytonaio/daytona/issues)
![GitHub Release](http"
ikeisuke/ai-dlc-starter-kit,ai-dlc-starter-kit,AI-DLC スターターキット,[],54,"Professional, Scientific, Technical Services",0.7873688340187073,"# AI-DLC Starter Kit

[![Version](https://img.shields.io/badge/version-1.11.1-blue.svg)](./version.txt)

AI-DLC (AI-Driven Development Lifecycle) を使った開発をすぐに始められるスターターキット

## 概要

このリポジトリには、AWS が提唱する AI-DLC 方法論の日本語リソースとプロンプトテンプレートが含まれています。

- **AI-DLC とは**: AI を「支援ツール」ではなく、開発プロセスの「中心的な協働者」として位置づける新しいソフトウェア開発方法論
- **3つのフェーズ**: Inception（起動）→ Construction（構築）→ Operations（運用）

## 📂 リポジトリ構成

```text
ai-dlc-starter-kit/
├── docs/
│   ├── translations/          # AI-DLC ホワイトペーパーの日本語翻訳
│   │   ├── README"
blackpwnguin/Nexus,Nexus,manus remake,[],54,"Professional, Scientific, Technical Services",0.7873172760009766,"# Manus Remake - Autonomous AI Agent

A production-ready autonomous AI agent inspired by ManusAI, featuring Claude 3.5 Sonnet integration, secure container sandboxing, and comprehensive tool orchestration.

## 🚀 Features

- **Autonomous Task Execution**: ReAct + CodeAct hybrid architecture for complex reasoning and action
- **Security-First Design**: Zero-trust validation, container sandboxing, and input sanitization
- **Claude Integration**: Native Claude 3.5 Sonnet API with tool calling and co"
OptimalMatch/clode,clode,,[],54,"Professional, Scientific, Technical Services",0.7872374653816223,"# CLode - A Claude Agentic Workforce Manager

A full-stack application for managing Claude Code instances in Git workflows with parallel execution capabilities.

[![Watch the demo video](docs/images/demo1-screen.png)](https://youtu.be/X_xzj3vHSeM?hd=1 ""Demo"")

## Why would I use this?

At minimum, if I was interested in trying out another way of interacting with Claude Code from a web page instead of in a terminal instance.  We love the linux terminal where we tmux 3 panels per terminal window a"
kochj23/Blompie,Blompie,A Zork-style text adventure game for macOS powered by Ollama AI,[],71,"Arts, Entertainment, and Recreation",0.7871875166893005,"# Blompie v1.1.0

**AI-Powered Text Adventure Game - Every playthrough is unique**

Classic text adventure meets modern AI. Explore infinite procedurally-generated worlds where the AI dungeon master creates your story in real-time.

---

## What is Blompie?

Blompie is a text-based adventure game powered by local AI (Ollama/MLX). Like classic games Zork and Colossal Cave Adventure, you explore worlds through text commands—but with AI, every playthrough is completely unique. The AI acts as your d"
raymondli-me/poma-mediation-ml-demo,poma-mediation-ml-demo,Demonstrates how linear mediation analysis can be completely blind to non-linear relationships while ML methods detect them accurately,[],54,"Professional, Scientific, Technical Services",0.7869037389755249,"# PoMA (Percentage of Mediated Accuracy) - ML vs Linear Methods Demonstration

This repository demonstrates critical findings about mediation analysis using Machine Learning (ML) vs traditional linear methods. The key insight: **Linear methods can be completely blind to strong non-linear mediation relationships**.

## Key Findings

1. **Equivalence with Linear Data**: Traditional mediation analysis, Frisch-Waugh-Lovell (FWL), and Double Machine Learning (DML) are mathematically equivalent when r"
fractary/codex-sync-github,codex-sync-github,Codex core workflows and actions to enable syncing documentation between projects. ,[],54,"Professional, Scientific, Technical Services",0.7868272066116333,"---
org: omnidas
system: codex.omnidas.ai
title: Codex Core Bundle ReadMe
description: Introduction to the OmniDAS Codex Core Bundle
codex_sync_include: []
codex_sync_exclude: []
tags: [guide, codex, architecture, workflows, github-actions, infrastructure, knowledge-management]
created: 2025-09-25
updated: 2025-09-25
visibility: internal
---

# OmniDAS Codex Core Bundle

A GitHub Actions workflow bundle that transforms your Codex repository into an automated knowledge distribution"
epireve/hdm,hdm,,[],61,Educational Services,0.7868165969848633,"# HDM Papers Database

A comprehensive database of academic papers focusing on Human Digital Memory (HDM) systems, specifically investigating heterogeneous data integration within Personal Knowledge Graph (PKG) architectures.

## Overview

This project maintains a curated collection of 358 academic papers (2019-2025) with detailed metadata, quality-assured author information, and structured research insights.

## Project Structure

```
hdm/
├── scripts/              # Processing and analysis scr"
kareemschultz/gpl-website,gpl-website,"Guyana Power & Light (GPL) Official Website - Built with TanStack Router, Hono.js, and PostgreSQL",[],22,Utilities,0.7867618799209595,"# GPL Website

**Official Website for Guyana Power & Light Inc.**

A modern, responsive web application for GPL customers to access services, report outages, view safety information, and manage their electricity accounts.

[![Build Status](https://github.com/kareemschultz/gpl-website/actions/workflows/test.yml/badge.svg)](https://github.com/kareemschultz/gpl-website/actions)

## 🚨 Emergency Contacts

**ALWAYS VISIBLE ON EVERY PAGE**

| Region | Primary | Secondary |
|--------|---------|---------"
lucascharao/clientesinativos,clientesinativos,,[],44-45,Retail Trade,0.7866801619529724,"# Sistema de Análise de Clientes - Mutumilk

Sistema web para análise de clientes sem movimentação, com interface minimalista e intuitiva.

## Funcionalidades

- Upload de planilha Excel (.xlsx, .xls)
- Análise da coluna ""ÚLTIMA VENDA""
- Filtros disponíveis:
  - **Por dias**: 30, 60 ou 90 dias sem compra
  - **Por meses**: Selecione meses específicos do ano
- Listagem de clientes inativos com:
  - Código do cliente
  - Nome fantasia
  - Data da última venda
  - Total de vendas
- Exportação de re"
